,CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192
27949,4,4,4,5,3,24,1,0,6,1,4,9,2,18,13,4,29,2,2,4,1,2,7,1,1,2,0,3,0,0,2,1,0,0,1,5,0,3,0,6,1,0
27950,5,2,1,2,3,24,2,1,8,2,3,18,3,35,99,2,146,3,1,3,2,7,4,2,0,0,0,5,1,1,2,1,2,2,50,3,2,2,2,6,2,0
27951,1,1,4,2,0,33,3,0,5,2,0,7,1,25,10,6,24,1,2,0,1,1,4,0,0,1,1,3,0,0,0,0,1,1,2,4,0,1,1,2,0,0
27952,1,4,2,1,2,18,0,0,5,0,0,11,2,21,8,2,25,1,1,0,0,1,5,0,0,1,0,3,0,0,1,1,0,1,5,2,0,2,1,2,2,0
27953,3,2,1,2,2,12,1,0,8,4,1,11,1,20,8,1,19,1,4,5,0,0,5,1,1,2,0,3,1,0,0,1,0,2,4,0,0,3,3,6,2,1
27954,4,2,1,1,1,11,1,0,4,2,1,7,2,26,7,1,27,2,2,3,0,0,7,2,1,4,1,1,1,1,0,0,0,4,5,0,1,1,2,5,1,0
27955,1,0,2,1,0,8,0,0,4,1,3,4,0,13,6,1,19,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,4,0,0,0,1,2,3,0
27956,0,0,2,9,1,1,1,0,3,4,1,9,3,24,7,1,31,0,1,5,0,1,3,0,0,1,0,1,0,0,2,1,0,2,6,1,0,5,1,1,3,1
27957,4,0,3,9,2,24,1,0,10,2,2,12,3,22,22,3,255,2,1,3,0,1,30,1,0,0,0,3,1,1,0,0,0,3,6,3,0,1,2,3,1,1
27958,0,4,4,2,0,1,0,0,4,1,1,10,2,5,1,2,27,1,7,0,2,1,8,0,24,2,0,6,1,1,0,0,1,1,9,0,0,2,0,2,3,1
27959,1,1,2,9,0,93,2,0,3,4,0,9,2,23,9,4,21,1,1,2,1,0,8,1,0,1,1,3,1,0,0,1,0,1,2,4,1,1,4,1,2,1
27960,2,2,2,4,1,24,2,0,4,1,1,5,2,15,10,5,24,0,2,2,0,1,7,0,0,0,0,4,1,0,0,1,0,2,5,3,0,1,5,3,1,0
27961,0,2,1,4,1,33,0,1,6,8,0,13,5,25,7,3,36,1,5,2,0,0,8,1,1,3,0,4,0,0,0,1,0,0,6,1,1,0,0,9,0,2
27962,0,1,7,1,4,6,2,0,2,2,1,7,1,16,17,4,15,0,1,0,0,1,5,0,0,1,0,3,1,0,0,2,0,0,9,0,0,0,2,5,0,2
27963,2,2,1,19,1,24,2,0,4,0,2,7,3,14,4,4,29,1,2,5,1,1,3,0,0,3,1,6,1,0,0,2,0,1,5,1,0,2,0,3,1,0
27964,1,2,0,4,2,14,3,0,2,0,0,8,3,28,9,4,12,0,0,0,0,0,7,0,1,2,0,2,0,1,0,0,1,2,10,4,0,2,0,2,0,0
27965,1,2,2,2,0,10,2,0,2,2,2,5,3,23,3,1,22,2,1,2,1,1,2,0,1,2,0,4,2,2,0,0,0,2,9,0,0,3,2,1,0,2
27966,1,0,3,3,0,15,2,0,8,0,0,13,0,38,12,0,52,0,1,2,1,0,10,0,0,2,0,4,2,0,4,0,0,1,3,1,0,0,1,2,0,0
27967,0,1,1,12,2,10,1,0,3,2,1,7,4,11,9,2,15,2,1,2,1,1,0,1,0,0,0,1,1,0,3,1,0,2,3,2,0,0,0,1,1,1
27968,1,0,4,4,0,12,0,0,2,1,1,13,0,24,5,1,18,0,4,0,0,0,2,0,1,1,0,2,1,0,2,0,0,1,16,3,1,7,5,3,0,0
