CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192,Species,Sample
1,1,0,0,2,9,0,0,1,0,0,2,0,3,7,1,9,0,0,4,0,1,0,0,1,0,0,1,0,0,0,2,2,0,1,0,0,2,1,0,0,1,HUMAN,EtOH1
0,0,0,1,0,1,2,1,1,0,0,5,0,2,12,1,8,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,HUMAN,EtOH1
1,1,1,3,1,9,0,0,2,1,1,6,0,8,15,2,15,1,2,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,4,1,0,0,1,2,1,1,HUMAN,EtOH1
1,0,3,1,0,48,0,0,2,0,2,9,1,2,18,3,12,1,2,4,0,1,0,0,0,0,1,2,1,0,0,1,0,6,2,0,0,0,5,0,0,0,HUMAN,EtOH1
2,0,3,1,1,55,0,0,5,3,0,11,1,10,13,3,21,0,2,6,0,0,3,1,0,4,0,5,0,0,1,0,0,0,4,2,0,0,5,0,0,1,HUMAN,EtOH1
1,1,5,0,3,23,0,0,1,3,1,13,2,9,14,10,29,0,1,7,0,0,2,1,0,1,0,3,0,0,0,2,1,2,5,4,0,0,1,1,1,0,HUMAN,EtOH1
0,0,2,0,4,14,0,2,3,0,1,4,0,8,10,0,11,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,0,HUMAN,EtOH1
2,0,0,0,2,18,0,0,6,2,0,14,0,15,19,2,30,1,3,2,0,1,4,2,0,2,0,0,0,0,0,0,0,2,5,3,0,2,2,0,0,1,HUMAN,EtOH1
1,0,1,0,0,19,0,0,5,1,2,6,1,4,16,2,7,1,0,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,HUMAN,EtOH1
2,2,1,1,1,12,1,0,0,0,0,4,0,2,105,1,2,1,5,0,0,1,2,0,14,2,0,3,1,0,0,0,0,0,4,5,1,2,0,2,0,1,HUMAN,EtOH1
0,1,2,1,0,12,0,0,5,1,1,5,1,2,103,3,24,0,1,2,0,2,1,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,HUMAN,EtOH1
0,0,0,0,0,3,0,0,1,0,0,3,1,4,5,3,9,0,0,4,0,1,1,0,0,0,0,1,1,0,2,0,0,1,1,3,0,0,2,0,0,1,HUMAN,EtOH1
0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,HUMAN,EtOH1
0,1,1,2,2,36,0,0,2,2,1,9,2,4,23,5,27,0,3,1,1,1,4,1,2,0,0,4,0,0,0,1,0,3,2,1,0,0,2,1,0,0,HUMAN,EtOH1
1,1,1,0,0,28,0,0,2,1,0,9,0,8,22,2,18,0,5,2,1,2,2,1,1,0,0,0,1,0,0,1,1,0,4,4,0,0,3,1,1,0,HUMAN,EtOH1
0,0,1,0,0,36,2,0,2,1,0,2,0,7,11,2,9,1,2,3,0,0,3,1,0,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,2,0,HUMAN,EtOH1
1,0,4,0,0,8,0,0,3,3,0,3,0,5,10,3,4,0,2,3,0,1,4,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,1,0,HUMAN,EtOH1
0,2,3,1,3,146,2,1,7,1,0,11,3,14,33,8,30,1,2,7,1,2,7,2,2,2,0,5,0,0,0,2,0,2,6,1,0,0,2,3,3,1,HUMAN,EtOH1
0,1,3,1,3,12,0,0,2,2,0,6,0,8,8,1,16,0,1,2,0,1,5,0,0,0,1,2,4,0,0,1,0,0,3,1,0,0,0,0,0,0,HUMAN,EtOH1
2,0,4,0,0,8,0,0,3,1,0,13,2,3,14,9,8,0,0,0,0,1,2,1,0,2,1,4,0,0,0,0,1,0,3,2,0,1,0,2,1,0,HUMAN,EtOH1
0,1,3,2,1,24,0,0,1,2,0,7,1,7,7,1,18,1,1,4,1,1,2,0,1,1,0,1,0,0,1,0,0,0,2,2,1,1,0,0,0,0,HUMAN,EtOH1
0,0,0,0,3,17,1,0,0,1,0,5,0,4,8,4,13,0,0,3,0,1,1,0,2,0,0,2,3,0,0,0,0,0,2,0,0,0,1,0,2,0,HUMAN,EtOH1
0,0,1,1,2,36,0,0,4,1,0,2,0,1,22,3,8,0,0,3,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,HUMAN,EtOH1
1,3,2,0,1,1,0,0,2,2,0,9,1,10,21,1,17,0,0,1,0,0,2,0,0,0,0,5,0,0,1,1,0,2,3,0,0,0,0,0,1,0,HUMAN,EtOH1
1,0,4,0,2,62,1,0,3,0,1,10,0,7,24,2,22,1,2,2,1,2,0,1,0,0,0,2,2,0,0,1,0,2,2,1,1,0,1,2,2,0,HUMAN,EtOH1
1,0,1,0,2,50,0,0,2,1,0,8,1,8,6,3,16,0,3,4,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,2,0,0,0,1,1,3,HUMAN,EtOH1
0,1,2,1,0,10,0,0,2,1,0,5,1,7,15,1,12,0,1,2,0,2,2,0,1,2,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,HUMAN,EtOH1
2,1,3,0,1,24,0,0,3,2,0,5,0,7,9,3,16,0,0,1,0,2,4,0,1,1,1,3,1,0,1,0,0,0,6,2,0,1,0,0,0,0,HUMAN,EtOH1
2,1,2,1,0,26,0,0,3,0,2,10,1,12,34,4,29,3,1,6,0,1,4,1,0,2,0,3,0,0,0,0,0,2,4,2,0,1,0,1,2,0,HUMAN,EtOH1
0,0,0,0,1,35,0,0,0,0,0,2,1,1,4,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,HUMAN,EtOH1
1,3,4,1,2,16,1,0,5,2,0,12,0,8,24,5,30,0,0,13,1,2,1,2,0,0,1,2,0,0,0,0,0,0,5,3,0,1,0,3,1,1,HUMAN,EtOH1
0,2,1,1,1,17,0,2,0,0,0,5,0,2,14,1,6,0,0,2,0,1,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,HUMAN,EtOH1
1,0,1,1,1,11,0,0,1,0,0,5,1,8,11,0,6,0,1,1,0,1,4,1,0,0,0,1,0,0,0,0,0,1,3,1,0,1,1,0,0,0,HUMAN,EtOH1
0,2,0,0,0,5,0,0,1,0,0,5,0,2,4,1,3,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HUMAN,EtOH1
0,1,1,0,0,39,0,0,0,0,0,6,1,5,23,1,17,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,2,0,1,0,2,2,0,HUMAN,EtOH1
1,0,0,1,0,9,0,0,0,1,0,3,2,2,7,0,9,1,0,1,0,1,3,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,HUMAN,EtOH1
1,1,3,0,2,94,2,0,4,1,1,20,3,18,22,3,27,0,3,2,0,1,6,1,1,1,0,3,4,0,1,0,0,1,4,3,0,3,0,3,1,0,HUMAN,EtOH1
1,0,1,1,0,22,0,2,5,2,1,6,1,6,8,1,26,1,2,5,0,1,3,2,0,2,0,5,0,0,0,1,0,0,3,3,0,0,1,0,2,0,HUMAN,EtOH1
0,0,0,2,0,15,0,1,3,1,0,9,0,3,10,5,17,0,0,6,0,0,1,0,0,1,0,2,1,0,0,1,0,1,3,3,0,0,0,2,0,0,HUMAN,EtOH1
1,0,1,2,0,17,1,0,3,1,0,6,0,3,9,2,11,0,1,3,0,0,4,2,0,2,0,3,0,0,0,1,2,1,2,1,0,1,0,0,2,1,HUMAN,EtOH1
1,0,1,1,2,10,0,0,3,0,0,2,0,5,5,2,21,1,1,8,0,1,4,2,1,3,1,1,0,1,0,2,0,0,1,2,0,0,0,2,0,0,HUMAN,EtOH1
0,0,0,0,3,2,0,0,0,2,0,4,0,3,10,1,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,HUMAN,EtOH1
0,0,0,1,1,19,0,0,1,1,0,5,0,3,7,1,10,0,1,1,1,1,4,0,0,2,0,1,1,0,0,1,0,1,1,3,0,0,0,0,2,0,HUMAN,EtOH1
